Index,Open,High,Low,Close,adj,Volume
2016-01-28,125.540001,126.410004,125.459999,126.230003,120.226425,10575400
2016-01-29,127.410004,127.860001,126.919998,127.300003,121.245552,13170700
2016-02-01,126.790001,127.07,126.290001,126.669998,120.874321,9948400
2016-02-02,128.100006,129.039993,128,129.020004,123.116791,10400000
2016-02-03,128.279999,129.940002,127.919998,127.949997,122.095757,13309000
2016-02-04,128.220001,128.589996,127.510002,128.570007,122.687408,9686500
2016-02-05,127.889999,129,127.589996,128.720001,122.830536,9200800
2016-02-08,129.720001,131.630005,129.679993,131.490005,125.473801,14452200
2016-02-09,132.039993,132.059998,130.960007,131.630005,125.607414,14826600
2016-02-10,131.699997,132.839996,131.110001,132.789993,126.714317,12797100
2016-02-11,134.440002,135.25,133.009995,133.720001,127.601768,21620200
2016-02-12,132.639999,133.130005,130.929993,131.5,125.48336,13888400
2016-02-16,130.720001,130.75,129.809998,130.110001,124.156929,11766000
2016-02-17,129.639999,129.830002,128.710007,129.309998,123.393532,13157300
2016-02-18,129.410004,131,129.360001,130.899994,124.910789,10196700
2016-02-19,130.940002,131.820007,130.729996,131.009995,125.015785,8188700
2016-02-22,131.100006,131.110001,130.699997,130.940002,124.948975,5054300
2016-02-23,129.880005,131.740005,129.779999,131.470001,125.454704,8320700
2016-02-24,132.399994,133.389999,130.949997,131.210007,125.206635,9091200
2016-02-25,131.479996,132.559998,131.320007,131.679993,125.655083,5894200
2016-02-26,130.309998,130.809998,130.039993,130.410004,124.443207,9245000
2016-02-29,130.470001,131.169998,130.419998,130.979996,124.987122,8016100
2016-03-01,130.820007,130.850006,128.320007,128.429993,122.786293,13729100
2016-03-02,128.320007,128.970001,128.210007,128.960007,123.292992,7047700
2016-03-03,129.070007,129.940002,128.770004,129.429993,123.74231,6394800
2016-03-04,128.75,129.130005,127.760002,128.600006,122.948822,8687000
2016-03-07,128.449997,128.669998,128.050003,128.559998,122.910583,5493300
2016-03-08,130.350006,130.990005,129.949997,129.979996,124.268166,7175400
2016-03-09,129.080002,129.690002,128.809998,129.190002,123.512894,7194700
2016-03-10,129.5,129.839996,127.919998,128.660004,123.006172,10091600
2016-03-11,128.820007,128.880005,127.209999,127.360001,121.763298,8927000
2016-03-14,127.82,128.389999,127.660004,127.760002,122.145744,5177000
2016-03-15,128.5,128.660004,127.610001,127.879997,122.260452,6413200
2016-03-16,127.75,128.520004,127.370003,128.259995,122.623756,9728900
2016-03-17,128.509995,129.339996,128.490005,128.789993,123.130463,7805500
2016-03-18,129.039993,129.509995,128.699997,129.059998,123.388596,8198600
2016-03-21,128.25,128.619995,127.75,128.070007,122.442116,5514800
2016-03-22,128.830002,129.020004,127.919998,128.039993,122.413422,4997900
2016-03-23,128.410004,129.820007,128.289993,129.490005,123.799721,10628200
2016-03-24,130.580002,130.639999,129,129.539993,123.847504,6343300
2016-03-28,129.380005,130.160004,129.279999,129.710007,124.010033,5058700
2016-03-29,130.380005,131.089996,130.020004,131.070007,125.310303,9159200
2016-03-30,130.029999,130.070007,128.979996,129.690002,123.990921,8478700
2016-03-31,129.979996,130.809998,129.789993,130.610001,124.870468,7832300
2016-04-01,130.979996,131.130005,129.899994,130.679993,125.196228,9341400
2016-04-04,130.789993,130.970001,130.270004,130.759995,125.27285,5145100
2016-04-05,132.009995,132.360001,131.779999,132.190002,126.642899,6482800
2016-04-06,131.529999,131.669998,130.740005,131.229996,125.723145,6393700
2016-04-07,132.190002,132.990005,132.009995,132.850006,127.275169,5963300
2016-04-08,132.169998,132.399994,131.639999,132.009995,126.470406,5584800
2016-04-11,131.320007,132.179993,131.110001,131.839996,126.307556,4805500
2016-04-12,131.080002,131.550003,130.529999,130.929993,125.435722,4255700
2016-04-13,130.690002,131.580002,130.520004,131.389999,125.876411,5207900
2016-04-14,130.910004,131.309998,130.490005,130.759995,125.27285,5459000
2016-04-15,131.289993,132.160004,131.25,131.880005,126.345909,5831100
2016-04-18,131.330002,131.440002,130.660004,131.309998,125.799782,4483300
2016-04-19,131.080002,131.309998,130.289993,130.899994,125.40699,5212200
2016-04-20,131.160004,131.649994,129.270004,129.460007,124.027405,10920700
2016-04-21,128.440002,129.070007,128.289993,128.690002,123.289742,11154200
2016-04-22,128.850006,128.910004,128.240005,128.360001,122.973572,5826400
2016-04-25,128.059998,128.520004,127.830002,127.830002,122.46582,5539500
2016-04-26,127.760002,127.760002,127.120003,127.25,121.910164,7840000
2016-04-27,127.919998,128.820007,127.620003,128.520004,123.126862,8380100
2016-04-28,128.210007,129.139999,128.039993,129.050003,123.634621,7974600
