Date,Open,High,Low,Close,Adj Close,Volume
2009-07-20,55.990002,56.200001,54.169998,55.57,49.785023,18800
2009-07-21,56.080002,56.18,53.52,54.139999,48.503902,40800
2009-07-22,53.400002,54.150002,53.400002,54.130001,48.494938,8600
2009-07-23,54.150002,55.630001,53.799999,54.860001,49.148937,26500
2009-07-24,54.349998,55.450001,54.349998,55.18,49.435638,6800
2009-07-27,55.650002,56.779999,55.060001,56.48,50.600307,21900
2009-07-28,55.959999,57.169998,55.560001,57.150002,51.200554,10600
2009-07-29,56.990002,57.099998,56.400002,57.080002,51.137833,10600
2009-07-30,57.099998,57.599998,56.630001,57.029999,51.093044,12000
2009-07-31,56.57,58,56.52,56.52,50.636147,11900
2009-08-03,57.259998,57.5,55.009998,56.529999,50.645081,10700
2009-08-04,56.02,57.799999,54.330002,55.740002,49.937336,20500
2009-08-05,55.450001,55.830002,53.799999,55.830002,50.243324,28200
2009-08-06,55.439999,55.439999,54.259998,54.32,48.884418,8900
2009-08-07,55.259998,55.259998,54.310001,54.639999,49.172382,15100
2009-08-10,54,54.52,53.400002,54.119999,48.704426,21000
2009-08-11,53.799999,54.889999,53.5,54.02,48.614414,11400
2009-08-12,54.130001,54.790001,53.84,54.650002,49.181393,10300
2009-08-13,55.060001,55.060001,54.509998,54.84,49.352375,5600
2009-08-14,54.939999,55.02,54,54.029999,48.623436,11000
2009-08-17,54,54.52,53.299999,54.310001,48.875412,26200
2009-08-18,54,54.740002,53.919998,54.740002,49.26239,10900
2009-08-19,54.110001,54.689999,53.57,54.689999,49.217392,6100
2009-08-20,54.700001,55.07,53.93,54.810001,49.325371,13000
2009-08-21,55.630001,56,54.009998,55.580002,50.018326,20800
2009-08-24,55.720001,55.720001,54.950001,55.169998,49.649357,9000
2009-08-25,54.990002,55.540001,54.52,55.540001,49.982327,7400
2009-08-26,55.220001,55.650002,54.360001,55.529999,49.973331,9300
2009-08-27,55,55.470001,54.82,55.259998,49.730343,13500
2009-08-28,55.799999,55.799999,54.18,54.32,48.884418,16100
2009-08-31,54.209999,55.549999,54,54.060001,48.650433,45100
2009-09-01,53.41,54.080002,48.380001,48.900002,44.006763,74400
2009-09-02,48.939999,51.119999,47.740002,48.25,43.421814,90600
2009-09-03,48.68,49.380001,47.139999,49.080002,44.168758,35400
2009-09-04,49.560001,49.950001,49.09,49.849998,44.861713,14700
2009-09-08,50.150002,50.459999,47.68,48.470001,43.619793,30800
2009-09-09,48.57,49.23,48.279999,49.189999,44.26775,30400
2009-09-10,49.639999,49.919998,48.189999,49.560001,44.600723,31400
2009-09-11,49.599998,50.16,49.119999,49.119999,44.20475,27700
2009-09-14,48.700001,49.599998,48.139999,49.599998,44.636715,20500
2009-09-15,49.380001,50.07,49.009998,49.91,44.915695,14700
2009-09-16,49.880001,50.07,49.509998,49.75,44.771721,14500
2009-09-17,49.439999,49.919998,49,49,44.096752,16300
2009-09-18,49.189999,49.459999,48.810001,49.049999,44.141762,22800
2009-09-21,49.32,49.48,49.049999,49.34,44.402733,11000
2009-09-22,49.369999,49.459999,48.529999,48.709999,43.835773,30500
2009-09-23,48.849998,49.790001,48.849998,48.959999,44.060764,14000
2009-09-24,48.970001,49.450001,48.27,48.27,43.439819,26400
2009-09-25,48,49.029999,48,48.799999,43.916779,12600
2009-09-28,48.860001,49.259998,48.509998,48.720001,43.844784,9900
2009-09-29,48.810001,49.34,48.650002,48.650002,43.781792,8100
2009-09-30,48.82,49.330002,48.25,48.43,43.583801,20900
2009-10-01,48.349998,48.57,47.610001,47.610001,42.84586,20000
2009-10-02,47.25,47.470001,47,47.119999,42.404881,14800
2009-10-05,47.16,47.470001,47.130001,47.169998,42.449883,13800
2009-10-06,47.610001,48,47.209999,47.75,42.971848,9500
2009-10-07,47.959999,48.349998,47.720001,47.830002,43.043839,9900
2009-10-08,48.310001,48.849998,47.970001,48,43.196831,16800
2009-10-09,48.23,49.09,48.060001,49.049999,44.141762,14300
2009-10-12,49.439999,49.490002,49.02,49.240002,44.312752,7800
2009-10-13,49.119999,49.18,48.880001,49.099998,44.186752,4200
2009-10-14,49.5,49.5,48.75,49.200001,44.276756,16500
2009-10-15,48.77,49.349998,47.029999,47.419998,42.67487,21000
2009-10-16,47.5,48.849998,47.040001,47.040001,42.332897,20600
2009-10-19,47.450001,48.130001,47.439999,47.880001,43.088833,11900
2009-10-20,48.169998,48.990002,47.799999,48.009998,43.20583,18200
2009-10-21,48,48.349998,47.470001,47.52,42.764854,22100
2009-10-22,47.439999,47.669998,46.57,46.669998,41.999908,27100
2009-10-23,46.59,47.400002,45.889999,45.93,41.333965,25300
2009-10-26,45.900002,46.220001,45,45.029999,40.524021,26000
2009-10-27,45.099998,46.380001,45.099998,45.209999,40.686008,17100
2009-10-28,45.650002,46.220001,45.380001,45.380001,40.839008,15800
2009-10-29,46.02,46.02,45.380001,45.669998,41.099979,11500
2009-10-30,45.5,45.630001,44.849998,44.91,40.416027,25400
2009-11-02,45.32,45.470001,44.150002,45.240002,40.713005,40900
2009-11-03,45.25,45.400002,44.400002,44.549999,40.092049,10300
2009-11-04,44.860001,45,44,44.09,39.678093,16500
2009-11-05,44.5,44.5,43.209999,44.389999,40.17588,19100
