Date,BAC,S&P500
22/08/2002,35.174999,962.700012
23/08/2002,34.700001,940.859985
26/08/2002,35.5,947.950012
27/08/2002,35.700001,934.820007
28/08/2002,35.005001,917.869995
29/08/2002,35.18,917.799988
30/08/2002,35.040001,916.070007
03/09/2002,33.564999,878.02002
04/09/2002,33.685001,893.400024
05/09/2002,33.66,879.150024
06/09/2002,34.645,893.919983
09/09/2002,34.625,902.960022
10/09/2002,34.264999,909.580017
11/09/2002,34.369999,909.450012
12/09/2002,33.665001,886.909973
13/09/2002,34.150002,889.809998
16/09/2002,34.490002,891.099976
17/09/2002,34.025002,873.52002
18/09/2002,33.150002,869.460022
19/09/2002,31.68,843.320007
20/09/2002,31.549999,845.390015
23/09/2002,31.924999,833.700012
24/09/2002,31,819.289978
25/09/2002,31.75,839.659973
26/09/2002,32.959999,854.950012
27/09/2002,32.040001,827.369995
30/09/2002,31.9,815.280029
01/10/2002,33.075001,847.909973
02/10/2002,32.095001,827.909973
03/10/2002,29.9,818.950012
04/10/2002,29,800.580017
07/10/2002,27.799999,785.280029
08/10/2002,28.6,798.549988
09/10/2002,27.075001,776.76001
10/10/2002,28.33,803.919983
11/10/2002,29.700001,835.320007
14/10/2002,30.355,841.440002
15/10/2002,32.875,881.27002
16/10/2002,33.424999,860.02002
17/10/2002,34.290001,879.200012
18/10/2002,34.66,884.390015
21/10/2002,35.174999,899.719971
22/10/2002,34.825001,890.159973
23/10/2002,35.049999,896.140015
24/10/2002,34.240002,882.5
25/10/2002,34.91,897.650024
28/10/2002,34.75,890.22998
29/10/2002,34.720001,882.150024
30/10/2002,35.224998,890.710022
31/10/2002,34.900002,885.76001
01/11/2002,35.130001,900.960022
04/11/2002,35.130001,908.349976
05/11/2002,35.509998,915.390015
06/11/2002,35.044998,923.76001
07/11/2002,33.720001,902.650024
08/11/2002,33.555,894.73999
11/11/2002,33.375,876.190002
12/11/2002,33.674999,882.950012
13/11/2002,33.654999,882.530029
14/11/2002,34.375,904.27002
15/11/2002,34.395,909.830017
18/11/2002,33.705002,900.359985
19/11/2002,34.110001,896.73999
20/11/2002,34.75,914.150024
21/11/2002,35.709999,933.76001
22/11/2002,35.634998,930.549988
25/11/2002,35.599998,932.869995
26/11/2002,34.779999,913.309998
27/11/2002,35.494999,938.869995
29/11/2002,35.040001,936.309998
02/12/2002,34.555,934.530029
03/12/2002,34.650002,920.75
